"Presidential General Election Returns by County, National Summary (2000)"
"Generated from CQ Press U.S. Political Stats Database, January 14, 2016"
,
,
State,County,"Winning Party","Dem. Candidate (2000)","Dem. Votes","Dem. %","Rep. Candidate (2000)","Rep. Votes","Rep. %","Highest Other (2000)","Other Votes","Other %"
PA,WARREN,R,"Gore, Albert",7537,43,"Bush, George",9290,53,"Nader, Ralph",466,2.7
PA,WASHINGTON,D,"Gore, Albert",44961,53.2,"Bush, George",37339,44.2,"Nader, Ralph",1442,1.7
PA,WAYNE,R,"Gore, Albert",6904,36.5,"Bush, George",11201,59.2,"Nader, Ralph",625,3.3
PA,WESTMORELAND,R,"Gore, Albert",71792,45.8,"Bush, George",80858,51.6,"Nader, Ralph",2601,1.7
PA,WYOMING,R,"Gore, Albert",4363,37.3,"Bush, George",6922,59.2,"Nader, Ralph",344,2.9
PA,YORK,R,"Gore, Albert",51958,36,"Bush, George",87652,60.8,"Nader, Ralph",3305,2.3
CA,ALAMEDA,D,"Gore, Albert",342889,69.4,"Bush, George",119279,24.1,"Nader, Ralph",27499,5.6
CA,ALPINE,R,"Gore, Albert",265,45.2,"Bush, George",281,48,"Nader, Ralph",25,4.3
CA,AMADOR,R,"Gore, Albert",5906,38.2,"Bush, George",8766,56.7,"Nader, Ralph",584,3.8
CA,BUTTE,R,"Gore, Albert",31338,37.4,"Bush, George",45584,54.4,"Nader, Ralph",5727,6.8
CA,CALAVERAS,R,"Gore, Albert",7093,37.6,"Bush, George",10599,56.2,"Nader, Ralph",863,4.6
CA,COLUSA,R,"Gore, Albert",1745,31.2,"Bush, George",3629,64.9,"Nader, Ralph",151,2.7
CA,"CONTRA COSTA",D,"Gore, Albert",224338,58.8,"Bush, George",141373,37.1,"Nader, Ralph",13067,3.4
CA,"DEL NORTE",R,"Gore, Albert",3117,37.6,"Bush, George",4526,54.6,"Nader, Ralph",485,5.8
CA,"EL DORADO",R,"Gore, Albert",26220,36.3,"Bush, George",42045,58.3,"Nader, Ralph",3013,4.2
CA,FRESNO,R,"Gore, Albert",95059,43,"Bush, George",117342,53.1,"Nader, Ralph",6541,3
CA,GLENN,R,"Gore, Albert",2498,28.7,"Bush, George",5795,66.5,"Nader, Ralph",268,3.1
CA,HUMBOLDT,D,"Gore, Albert",24851,44.4,"Bush, George",23219,41.5,"Nader, Ralph",7100,12.7
CA,IMPERIAL,D,"Gore, Albert",15489,53.5,"Bush, George",12524,43.3,"Nader, Ralph",608,2.1
CA,INYO,R,"Gore, Albert",2652,33.9,"Bush, George",4713,60.3,"Nader, Ralph",344,4.4
CA,KERN,R,"Gore, Albert",66003,36.2,"Bush, George",110663,60.7,"Nader, Ralph",3474,1.9
CA,KINGS,R,"Gore, Albert",11041,39,"Bush, George",16377,57.8,"Nader, Ralph",567,2
CA,LAKE,D,"Gore, Albert",10717,51.2,"Bush, George",8699,41.6,"Nader, Ralph",1265,6
CA,LASSEN,R,"Gore, Albert",2982,28.2,"Bush, George",7080,66.9,"Nader, Ralph",339,3.2
CA,"LOS ANGELES",D,"Gore, Albert",1710505,63.5,"Bush, George",871930,32.4,"Nader, Ralph",83731,3.1
CA,MADERA,R,"Gore, Albert",11650,34.9,"Bush, George",20283,60.7,"Nader, Ralph",1080,3.2
CA,MARIN,D,"Gore, Albert",79135,64.3,"Bush, George",34872,28.3,"Nader, Ralph",8289,6.7
CA,MARIPOSA,R,"Gore, Albert",2816,34.9,"Bush, George",4727,58.5,"Nader, Ralph",379,4.7
CA,MENDOCINO,D,"Gore, Albert",16634,48.3,"Bush, George",12272,35.7,"Nader, Ralph",5051,14.7
CA,MERCED,R,"Gore, Albert",22726,45.1,"Bush, George",26102,51.8,"Nader, Ralph",1166,2.3
CA,MODOC,R,"Gore, Albert",945,23,"Bush, George",2969,72.3,"Nader, Ralph",122,3
CA,MONO,R,"Gore, Albert",1788,40.9,"Bush, George",2296,52.5,"Nader, Ralph",230,5.3
CA,MONTEREY,D,"Gore, Albert",67618,57.5,"Bush, George",43761,37.2,"Nader, Ralph",5059,4.3
CA,NAPA,D,"Gore, Albert",28097,54.3,"Bush, George",20633,39.9,"Nader, Ralph",2471,4.8
CA,NEVADA,R,"Gore, Albert",17670,37.2,"Bush, George",25998,54.8,"Nader, Ralph",3287,6.9
CA,ORANGE,R,"Gore, Albert",391819,40.4,"Bush, George",541299,55.8,"Nader, Ralph",26833,2.8
CA,PLACER,R,"Gore, Albert",42449,36,"Bush, George",69835,59.3,"Nader, Ralph",4449,3.8
CA,PLUMAS,R,"Gore, Albert",3458,33.2,"Bush, George",6343,61,"Nader, Ralph",456,4.4
CA,RIVERSIDE,R,"Gore, Albert",202576,44.9,"Bush, George",231955,51.4,"Nader, Ralph",11678,2.6
